condition,scenario,repetition,method,window_end,kappa_decline,sigma_growth,converged
baseline,noise_growth,27,Bayesian SINDy (spike-slab),62.0,0.15337957718704676,0.11564492917922539,True
baseline,noise_growth,27,Bayesian SINDy (spike-slab),70.0,-1.6254519904648004,0.11748714146399106,True
baseline,noise_growth,27,Bayesian SINDy (spike-slab),78.0,0.20510608192159618,0.258072990181461,True
baseline,noise_growth,27,Kalman OU,30.0,0.6727052119063448,-0.061406664210729545,True
baseline,noise_growth,27,Kalman OU,38.0,0.2964052603647903,-0.05476629179700579,True
baseline,noise_growth,27,Kalman OU,46.0,-0.061220637651741905,-0.02630247718787443,True
baseline,noise_growth,27,Kalman OU,54.0,0.3275929244611573,0.048609466338095375,True
baseline,noise_growth,27,Kalman OU,62.0,0.26676091251678435,0.08166757131748137,True
baseline,noise_growth,27,Kalman OU,70.0,-1.8351463439229316,0.21261875073946607,True
baseline,noise_growth,27,Kalman OU,78.0,0.009477442976135286,0.26109548736265614,True
baseline,noise_growth,27,Latent Neural SDE (VI),30.0,0.12288302183151245,0.04595343325930662,True
baseline,noise_growth,27,Latent Neural SDE (VI),38.0,-0.18513882160186768,-0.012143112999064731,True
baseline,noise_growth,27,Latent Neural SDE (VI),46.0,-0.7860128879547119,-0.01166026911595136,True
baseline,noise_growth,27,Latent Neural SDE (VI),54.0,-0.22043776512145996,-0.006674760739326435,True
baseline,noise_growth,27,Latent Neural SDE (VI),62.0,0.061278343200683594,0.06558559066625985,True
baseline,noise_growth,27,Latent Neural SDE (VI),70.0,-2.328691244125366,0.07092343709943055,True
baseline,noise_growth,27,Latent Neural SDE (VI),78.0,-0.7819836139678955,0.1833707204343864,True
baseline,noise_growth,27,Moment OU,30.0,0.25773021141596963,0.012962046456964443,True
baseline,noise_growth,27,Moment OU,38.0,0.06658826625794356,-0.014908999585040661,True
baseline,noise_growth,27,Moment OU,46.0,-0.5933229408495495,0.016329117381554653,True
baseline,noise_growth,27,Moment OU,54.0,0.23198857079662716,0.07208903272812808,True
baseline,noise_growth,27,Moment OU,62.0,0.0514410512294039,0.13029977575847854,True
baseline,noise_growth,27,Moment OU,70.0,-1.9423902345128412,0.2215927019949486,True
baseline,noise_growth,27,Moment OU,78.0,-0.08799085113022387,0.29093780061783925,True
baseline,noise_growth,27,Neural SDE (Euler),30.0,0.09533834457397461,0.059219585542870434,True
baseline,noise_growth,27,Neural SDE (Euler),38.0,-0.27861928939819336,-0.005106873162389947,True
baseline,noise_growth,27,Neural SDE (Euler),46.0,-0.7424976825714111,-0.007862058859384069,True
baseline,noise_growth,27,Neural SDE (Euler),54.0,-0.3616069555282593,0.010713759893196284,True
baseline,noise_growth,27,Neural SDE (Euler),62.0,0.03646528720855713,0.0716326351982482,True
baseline,noise_growth,27,Neural SDE (Euler),70.0,-2.2921199798583984,0.07497588487083412,True
baseline,noise_growth,27,Neural SDE (Euler),78.0,-0.8201204538345337,0.194674988732991,True
baseline,noise_growth,27,SINDy-STLSQ,30.0,0.2549699211446739,0.016540764096400207,True
baseline,noise_growth,27,SINDy-STLSQ,38.0,0.02330504309599779,-0.0041156525594087945,True
baseline,noise_growth,27,SINDy-STLSQ,46.0,-0.42025747521906776,-0.008272761735375833,True
baseline,noise_growth,27,SINDy-STLSQ,54.0,0.14913784783105744,0.06850398896318319,True
baseline,noise_growth,27,SINDy-STLSQ,62.0,0.1395121960499851,0.11117948728036373,True
baseline,noise_growth,27,SINDy-STLSQ,70.0,-1.4913486796086608,0.12028202561753934,True
baseline,noise_growth,27,SINDy-STLSQ,78.0,-0.37478856648936176,0.23931224004274956,True
baseline,noise_growth,28,Bayesian SINDy (spike-slab),30.0,0.4856423310534943,0.008964657816233651,True
baseline,noise_growth,28,Bayesian SINDy (spike-slab),38.0,-0.17070463056421692,0.02399284866144355,True
baseline,noise_growth,28,Bayesian SINDy (spike-slab),46.0,0.0026644193847940034,0.06300350993565737,True
baseline,noise_growth,28,Bayesian SINDy (spike-slab),54.0,-0.4868491696923243,0.07707383360144052,True
baseline,noise_growth,28,Bayesian SINDy (spike-slab),62.0,0.39936381362521334,0.12478667263513746,True
baseline,noise_growth,28,Bayesian SINDy (spike-slab),70.0,0.437788848058568,0.17644938541762314,True
baseline,noise_growth,28,Bayesian SINDy (spike-slab),78.0,0.3959008152440702,0.22916201339847078,True
baseline,noise_growth,28,Kalman OU,30.0,0.0505136196299506,0.044457226352782986,True
baseline,noise_growth,28,Kalman OU,38.0,-0.19252438251893833,0.076380889887261,True
baseline,noise_growth,28,Kalman OU,46.0,-0.26832693872373936,0.09870008814355713,True
baseline,noise_growth,28,Kalman OU,54.0,-0.5635879971023802,0.1485470749925506,True
baseline,noise_growth,28,Kalman OU,62.0,-0.07723440035753493,0.1721440562979391,True
baseline,noise_growth,28,Kalman OU,70.0,0.09366068553987372,0.224205512347406,True
baseline,noise_growth,28,Kalman OU,78.0,-0.08649401264159806,0.28508573154072514,True
baseline,noise_growth,28,Latent Neural SDE (VI),30.0,0.02501356601715088,-0.022618350596381148,True
baseline,noise_growth,28,Latent Neural SDE (VI),38.0,-0.2736920118331909,0.02702223112138255,True
baseline,noise_growth,28,Latent Neural SDE (VI),46.0,-0.48951125144958496,0.04665269094260388,True
baseline,noise_growth,28,Latent Neural SDE (VI),54.0,-0.32008087635040283,0.09848940992633398,True
baseline,noise_growth,28,Latent Neural SDE (VI),62.0,-0.5006414651870728,0.14557668225917003,True
baseline,noise_growth,28,Latent Neural SDE (VI),70.0,0.2533494234085083,0.15785230586381982,True
baseline,noise_growth,28,Latent Neural SDE (VI),78.0,0.17598527669906616,0.18709975741136897,True
baseline,noise_growth,28,Moment OU,30.0,0.3228315327498702,0.0015167033570293031,True
baseline,noise_growth,28,Moment OU,38.0,-0.11960695090263662,0.050705678097021534,True
baseline,noise_growth,28,Moment OU,46.0,-0.7551778925225113,0.1201674688182841,True
baseline,noise_growth,28,Moment OU,54.0,-0.40636616670499104,0.12189452851054822,True
baseline,noise_growth,28,Moment OU,62.0,0.1429412620461984,0.13709289300536975,True
baseline,noise_growth,28,Moment OU,70.0,0.2305851561270309,0.20288521548960203,True
baseline,noise_growth,28,Moment OU,78.0,0.03429081032415271,0.2664196877946645,True
baseline,noise_growth,28,Neural SDE (Euler),30.0,0.04633420705795288,-0.023822241807260974,True
baseline,noise_growth,28,Neural SDE (Euler),38.0,-0.27112042903900146,0.029975763753756463,True
baseline,noise_growth,28,Neural SDE (Euler),46.0,-0.524432897567749,0.048331562805132566,True
baseline,noise_growth,28,Neural SDE (Euler),54.0,-0.33295202255249023,0.10625858594879112,True
baseline,noise_growth,28,Neural SDE (Euler),62.0,-0.5669567584991455,0.15025312421027948,True
baseline,noise_growth,28,Neural SDE (Euler),70.0,0.21958500146865845,0.15881858576262015,True
baseline,noise_growth,28,Neural SDE (Euler),78.0,0.1749809980392456,0.1819227537606522,True
baseline,noise_growth,28,SINDy-STLSQ,30.0,0.358794349945487,0.006567105865799533,True
baseline,noise_growth,28,SINDy-STLSQ,38.0,-0.3930623644392519,0.0260765022927536,True
baseline,noise_growth,28,SINDy-STLSQ,46.0,-0.8688016222708554,0.04909226803792435,True
baseline,noise_growth,28,SINDy-STLSQ,54.0,0.06030805070079759,0.08032055358020199,True
baseline,noise_growth,28,SINDy-STLSQ,62.0,-0.13818137751379056,0.11988312117751745,True
baseline,noise_growth,28,SINDy-STLSQ,70.0,0.3862785044412898,0.1715859019300824,True
baseline,noise_growth,28,SINDy-STLSQ,78.0,-0.11009624961271303,0.21958941027290826,True
baseline,noise_growth,29,Bayesian SINDy (spike-slab),30.0,0.735720804568684,0.015090333316166105,True
baseline,noise_growth,29,Bayesian SINDy (spike-slab),38.0,0.7035635398761447,0.05789184549004303,True
baseline,noise_growth,29,Bayesian SINDy (spike-slab),46.0,1.2266815708860324,0.09904111737481897,True
baseline,noise_growth,29,Bayesian SINDy (spike-slab),54.0,1.22069177692085,0.11986086977994126,True
baseline,noise_growth,29,Bayesian SINDy (spike-slab),62.0,0.09955617915962445,0.14471763875757082,True
baseline,noise_growth,29,Bayesian SINDy (spike-slab),70.0,0.840223313870369,0.2105685793898288,True
baseline,noise_growth,29,Bayesian SINDy (spike-slab),78.0,0.7875827952677832,0.30861450226027726,True
baseline,noise_growth,29,Kalman OU,30.0,0.33819881245194094,0.006149649814056052,True
baseline,noise_growth,29,Kalman OU,38.0,0.6464137546616726,0.035598887083630903,True
baseline,noise_growth,29,Kalman OU,46.0,0.8630624455227695,0.10414000024944794,True
baseline,noise_growth,29,Kalman OU,54.0,0.6984720442439571,0.13756189741928418,True
baseline,noise_growth,29,Kalman OU,62.0,-0.19088955744805802,0.18173026939431228,True
baseline,noise_growth,29,Kalman OU,70.0,0.5209977517871202,0.20451222762735852,True
baseline,noise_growth,29,Kalman OU,78.0,0.2672675227227548,0.3337938767788542,True
baseline,noise_growth,29,Latent Neural SDE (VI),30.0,0.42593204975128174,0.013930834437921341,True
baseline,noise_growth,29,Latent Neural SDE (VI),38.0,0.6863627433776855,0.037463944434547286,True
baseline,noise_growth,29,Latent Neural SDE (VI),46.0,0.5659263134002686,0.08252768412979661,True
baseline,noise_growth,29,Latent Neural SDE (VI),54.0,0.8130456209182739,0.12838275651571063,True
baseline,noise_growth,29,Latent Neural SDE (VI),62.0,0.014600753784179688,0.1386919454939523,True
baseline,noise_growth,29,Latent Neural SDE (VI),70.0,0.6177027821540833,0.18665354300186549,True
baseline,noise_growth,29,Latent Neural SDE (VI),78.0,0.3748561143875122,0.256190018218708,True
baseline,noise_growth,29,Moment OU,30.0,-0.06177417190007106,0.027477783712731185,True
baseline,noise_growth,29,Moment OU,38.0,0.5634722004549166,0.06449032071177221,True
baseline,noise_growth,29,Moment OU,46.0,0.9230686370008795,0.10992682738561507,True
baseline,noise_growth,29,Moment OU,54.0,0.8910380064691529,0.1155011507439995,True
baseline,noise_growth,29,Moment OU,62.0,-0.1159759236070188,0.18163760968072198,True
baseline,noise_growth,29,Moment OU,70.0,0.5292756254058149,0.23361147817857184,True
baseline,noise_growth,29,Moment OU,78.0,0.3508369799094204,0.3439338692017472,True
baseline,noise_growth,29,Neural SDE (Euler),30.0,0.3901658058166504,0.007932987426781196,True
baseline,noise_growth,29,Neural SDE (Euler),38.0,0.5835700035095215,0.04175980576202981,True
baseline,noise_growth,29,Neural SDE (Euler),46.0,0.46378737688064575,0.09362281450282281,True
baseline,noise_growth,29,Neural SDE (Euler),54.0,0.8172911405563354,0.13791988632282134,True
baseline,noise_growth,29,Neural SDE (Euler),62.0,-0.0017589330673217773,0.14216777915373704,True
baseline,noise_growth,29,Neural SDE (Euler),70.0,0.5732935667037964,0.17549653803653117,True
baseline,noise_growth,29,Neural SDE (Euler),78.0,0.3449464440345764,0.2667391505994927,True
baseline,noise_growth,29,SINDy-STLSQ,30.0,0.5203129120207421,0.011981434475601627,True
baseline,noise_growth,29,SINDy-STLSQ,38.0,0.1092336072056842,0.05598393315823158,True
baseline,noise_growth,29,SINDy-STLSQ,46.0,0.5133648509120649,0.09617401585736546,True
baseline,noise_growth,29,SINDy-STLSQ,54.0,0.4750840680759786,0.11812896173109827,True
baseline,noise_growth,29,SINDy-STLSQ,62.0,-0.3549411729103904,0.14137644799964966,True
baseline,noise_growth,29,SINDy-STLSQ,70.0,0.773422477285762,0.20255319640883457,True
baseline,noise_growth,29,SINDy-STLSQ,78.0,0.3041987228408515,0.30064967540675874,True
baseline,noise_growth,30,Bayesian SINDy (spike-slab),30.0,-0.3420590343334752,0.0035257713810760705,True
baseline,noise_growth,30,Bayesian SINDy (spike-slab),38.0,-1.1473813790994827,0.01099859484757379,True
baseline,noise_growth,30,Bayesian SINDy (spike-slab),46.0,-0.7314723307187762,0.0633772543939019,True
baseline,noise_growth,30,Bayesian SINDy (spike-slab),54.0,0.46207924499241926,0.108801723586682,True
baseline,noise_growth,30,Bayesian SINDy (spike-slab),62.0,0.2172167165517186,0.1673134375357807,True
baseline,noise_growth,30,Bayesian SINDy (spike-slab),70.0,0.06671453426735174,0.23830406849803315,True
baseline,noise_growth,30,Bayesian SINDy (spike-slab),78.0,-0.02146907139938925,0.2907557926299892,True
baseline,noise_growth,30,Kalman OU,30.0,-0.0012394559681105921,-0.020303911152017046,True
baseline,noise_growth,30,Kalman OU,38.0,-1.060602333495117,0.024726574710516147,True
baseline,noise_growth,30,Kalman OU,46.0,-0.8536714681025805,0.09434379179194241,True
baseline,noise_growth,30,Kalman OU,54.0,0.25068410024667975,0.08505265233830439,True
baseline,noise_growth,30,Kalman OU,62.0,-0.062275673130721465,0.1808580635724022,True
baseline,noise_growth,30,Kalman OU,70.0,-0.24321512041427829,0.26517243405961244,True
baseline,noise_growth,30,Kalman OU,78.0,-0.07492959097413587,0.2538589641167002,True
baseline,noise_growth,30,Latent Neural SDE (VI),30.0,0.26407134532928467,0.0030967265344395423,True
baseline,noise_growth,30,Latent Neural SDE (VI),38.0,-0.7045997381210327,0.05051098780981045,True
baseline,noise_growth,30,Latent Neural SDE (VI),46.0,-1.114153265953064,0.09563882713249086,True
baseline,noise_growth,30,Latent Neural SDE (VI),54.0,-0.33474433422088623,0.12878637226017395,True
baseline,noise_growth,30,Latent Neural SDE (VI),62.0,-0.10161781311035156,0.18011583104166848,True
baseline,noise_growth,30,Latent Neural SDE (VI),70.0,0.40801435708999634,0.09245817119535663,True
baseline,noise_growth,30,Latent Neural SDE (VI),78.0,0.14806926250457764,0.21508711296092806,True
baseline,noise_growth,30,Moment OU,30.0,-0.1805112442979412,0.005247230923933949,True
baseline,noise_growth,30,Moment OU,38.0,-1.0340213266203064,0.030719946613284532,True
baseline,noise_growth,30,Moment OU,46.0,-0.825246601743053,0.0937002565302158,True
baseline,noise_growth,30,Moment OU,54.0,0.2269350824542059,0.10346238818156489,True
baseline,noise_growth,30,Moment OU,62.0,0.007153195920595601,0.17762472733672946,True
baseline,noise_growth,30,Moment OU,70.0,-0.19970483529840732,0.26619679135143814,True
baseline,noise_growth,30,Moment OU,78.0,-0.30021820400382426,0.32882973990888864,True
baseline,noise_growth,30,Neural SDE (Euler),30.0,0.1309727430343628,0.009194338666584756,True
baseline,noise_growth,30,Neural SDE (Euler),38.0,-0.8253620862960815,0.05299138833979525,True
baseline,noise_growth,30,Neural SDE (Euler),46.0,-1.128818154335022,0.10382088500963152,True
baseline,noise_growth,30,Neural SDE (Euler),54.0,-0.4696003198623657,0.14176563543087603,True
baseline,noise_growth,30,Neural SDE (Euler),62.0,-0.10229909420013428,0.18200008048591995,True
baseline,noise_growth,30,Neural SDE (Euler),70.0,0.31550657749176025,0.07244919170942885,True
baseline,noise_growth,30,Neural SDE (Euler),78.0,-0.008582592010498047,0.175834372362941,True
baseline,noise_growth,30,SINDy-STLSQ,30.0,-0.056436782574932565,0.0007277769685168356,True
baseline,noise_growth,30,SINDy-STLSQ,38.0,0.15812339802164366,0.018039823685765594,True
baseline,noise_growth,30,SINDy-STLSQ,46.0,-0.020378378956250387,0.06628343611702017,True
baseline,noise_growth,30,SINDy-STLSQ,54.0,0.8594099911416013,0.10802283422925565,True
baseline,noise_growth,30,SINDy-STLSQ,62.0,1.282492091472603,0.16519821249592195,True
baseline,noise_growth,30,SINDy-STLSQ,70.0,0.6798734900940311,0.23337323157636378,True
