condition,system,scenario,repetition,method,window_end,kappa_decline,sigma_growth,converged
baseline,bistable,noise_growth,28,Kalman OU,38.0,-0.5358063759968853,0.016901825182786396,True
baseline,bistable,noise_growth,28,Kalman OU,54.0,-0.30093058235776526,0.03412136486050704,True
baseline,bistable,noise_growth,28,Kalman OU,70.0,-1.0074191480946872,0.04871470733655914,True
baseline,bistable,noise_growth,28,Kalman OU,78.0,-2.1296119031006424,0.09628176378688927,True
baseline,bistable,noise_growth,28,Latent Neural SDE (VI),38.0,-0.7880654335021973,0.018890170590011288,True
baseline,bistable,noise_growth,28,Latent Neural SDE (VI),54.0,2.187793493270874,0.008001515787964111,True
baseline,bistable,noise_growth,28,Latent Neural SDE (VI),70.0,0.7224340438842773,0.022822970358987477,True
baseline,bistable,noise_growth,28,Latent Neural SDE (VI),78.0,0.2461259365081787,0.012156672437697358,True
baseline,bistable,noise_growth,28,Moment OU,38.0,-2.476368750034034,0.05345930716161011,True
baseline,bistable,noise_growth,28,Moment OU,54.0,0.4027701261941673,0.0032893519290189722,True
baseline,bistable,noise_growth,28,Moment OU,70.0,-0.35411539200233033,0.029146280804693534,True
baseline,bistable,noise_growth,28,Moment OU,78.0,-0.03210950417542546,0.023028840613068893,True
baseline,bistable,noise_growth,28,Neural SDE (Euler),38.0,-0.7745883464813232,0.0194232481244402,True
baseline,bistable,noise_growth,28,Neural SDE (Euler),54.0,2.14925754070282,0.010289193101164176,True
baseline,bistable,noise_growth,28,Neural SDE (Euler),70.0,0.9399466514587402,0.02347393961117057,True
baseline,bistable,noise_growth,28,Neural SDE (Euler),78.0,0.18042564392089844,0.011696618449564253,True
baseline,bistable,noise_growth,28,SINDy-STLSQ,38.0,-2.9772606172700327,0.013783578518148557,True
baseline,bistable,noise_growth,28,SINDy-STLSQ,54.0,0.04186570066662454,0.008105240068101163,True
baseline,bistable,noise_growth,28,SINDy-STLSQ,70.0,-0.832795314729917,0.01629328514120741,True
baseline,bistable,noise_growth,28,SINDy-STLSQ,78.0,0.279129142125339,0.014384884655042757,True
baseline,bistable,noise_growth,29,Bayesian SINDy (spike-slab),38.0,1.4700948863044956,0.0019024300031101754,True
baseline,bistable,noise_growth,29,Bayesian SINDy (spike-slab),54.0,0.16199330443850135,-0.008297137411956784,True
baseline,bistable,noise_growth,29,Bayesian SINDy (spike-slab),70.0,1.6137721782646208,0.02549176458550649,True
baseline,bistable,noise_growth,29,Bayesian SINDy (spike-slab),78.0,2.4337028936989116,0.022612895693650853,True
baseline,bistable,noise_growth,29,Kalman OU,38.0,1.6530133762908217,-0.023149309502004937,True
baseline,bistable,noise_growth,29,Kalman OU,54.0,1.848830306764204,-0.0459656765273374,True
baseline,bistable,noise_growth,29,Kalman OU,70.0,1.4867651184645205,0.012304499991623724,True
baseline,bistable,noise_growth,29,Kalman OU,78.0,1.5123718550989114,0.02883465981817082,True
baseline,bistable,noise_growth,29,Latent Neural SDE (VI),38.0,1.502814531326294,0.0009623384203498592,True
baseline,bistable,noise_growth,29,Latent Neural SDE (VI),54.0,0.15329837799072266,-0.012033090935745061,True
baseline,bistable,noise_growth,29,Latent Neural SDE (VI),70.0,1.1402385234832764,0.02757291005408627,True
baseline,bistable,noise_growth,29,Latent Neural SDE (VI),78.0,2.1310149431228638,0.015526643404052881,True
baseline,bistable,noise_growth,29,Moment OU,38.0,0.8867005295541067,-0.011937021946083065,True
baseline,bistable,noise_growth,29,Moment OU,54.0,,,False
baseline,bistable,noise_growth,29,Moment OU,70.0,0.5098137012639037,0.030791437879028057,True
baseline,bistable,noise_growth,29,Moment OU,78.0,0.8681261998646141,0.01749239984096044,True
baseline,bistable,noise_growth,29,Neural SDE (Euler),38.0,1.5344908237457275,0.00042060353611991785,True
baseline,bistable,noise_growth,29,Neural SDE (Euler),54.0,0.36337995529174805,-0.01248851012775734,True
baseline,bistable,noise_growth,29,Neural SDE (Euler),70.0,1.1053907871246338,0.027764024930869727,True
baseline,bistable,noise_growth,29,Neural SDE (Euler),78.0,2.110134243965149,0.01730965137602225,True
baseline,bistable,noise_growth,29,SINDy-STLSQ,38.0,2.026976664616984,0.0011961607621677611,True
